FAMILY,GENUS,SPECIES,INFO_TOTAL,HERBARIUM_ID,HCODE,FILETYPE,IS_DRAWING,TYPE_CODE,VARIETY,ALT_INFO_TOTAL,ALT_GENUS,ALT_SPECIES,ALT_TYPE,ALT_INFO,REDUCED_INFO,NOTES,YEAR,FILEPATH
Actinidiaceae,Saurauia,luzonensis,"non Type, A96355",A,96355,JPG,N,non-type,,,,,,,,,2003,"/Actinidiaceae/Saurauia luzonensis, non Type, A96355.jpg"
Araceae,Alocasia,boyceana,"non Type, K400139",K,400139,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia boyceana, non Type, K400139.jpg"
Araceae,Alocasia,culionensis,"non Type, K400158",K,400158,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia culionensis, non Type, K400158.jpg"
Araceae,Alocasia,culionensis,"non Type, K400159",K,400159,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia culionensis, non Type, K400159.jpg"
Araceae,Alocasia,culionensis,"non Type, K400161",K,400161,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia culionensis, non Type, K400161.jpg"
Araceae,Alocasia,heterophylla,"non Type, K400140",K,400140,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia heterophylla, non Type, K400140.jpg"
Araceae,Alocasia,heterophylla,"non Type, K400141",K,400141,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia heterophylla, non Type, K400141.jpg"
Araceae,Alocasia,heterophylla,"non Type, K400142",K,400142,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia heterophylla, non Type, K400142.jpg"
Araceae,Alocasia,maquilingensis,"non Type, K400143",K,400143,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia maquilingensis, non Type, K400143.jpg"
Araceae,Alocasia,maquilingensis,"non Type, K400145",K,400145,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia maquilingensis, non Type, K400145.jpg"
Araceae,Alocasia,micholitziana,"non Type, K400147",K,400147,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia micholitziana, non Type, K400147.jpg"
Araceae,Alocasia,micholitziana,"non Type, K400148",K,400148,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia micholitziana, non Type, K400148.jpg"
Araceae,Alocasia,micholitziana,"non Type, K400150",K,400150,JPG,N,non-type,,,,,,,,,2003,"/Araceae/Alocasia micholitziana, non Type, K400150.jpg"
