HCODE,HSERIAL,TCODE,FAMILY,GENUS,SPECIES,IS_FRAGMENT,IS_DRAWING,INFO,SUBSPECIES,VARIETY,ALT_INFO,ALT_GENUS,ALT_SPECIES,ALT_TYPE,YR,FILEPATH,FILETYPE
A,98353,HT,Actinidiaceae,Saurauia,knemifolia,N,N,"HT, A98353",,,,,,,2003,"/Actinidiaceae/Saurauia knemifolia, HT, A98353.jpg",JPG
A,96363,HT,Actinidiaceae,Saurauia,latibractea,N,N,"(S ramosii, HT) A96363",,,"S ramosii, HT",Saurauia,ramosii,,2003,"/Actinidiaceae/Saurauia latibractea (S ramosii, HT) A96363.jpg",JPG
A,96495,HT,Boraginaceae,Tournefortia,luzonica,N,N,"v. sublucens, HT, A96495",,sublucens,,,,,2003,"/Boraginaceae/Tournefortia luzonica v. sublucens, HT, A96495.bmp",BMP
A,52118,HT,Elaeocarpaceae,Elaeocarpus,angustifolius,N,N,"(E trichopetalus, HT) A52118",,,"E trichopetalus, HT",Elaeocarpus,trichopetalus,,2003,"/Elaeocarpaceae/Elaeocarpus angustifolius (E trichopetalus, HT) A52118.jpg",JPG
A,52051,HT,Elaeocarpaceae,Elaeocarpus,dinagatensis,N,N,"HT, A52051",,,,,,,2003,"/Elaeocarpaceae/Elaeocarpus dinagatensis, HT, A52051.jpg",JPG
A,52119,HT,Elaeocarpaceae,Elaeocarpus,merrittii,N,N,"(E urophyllus, HT) A52119",,,"E urophyllus, HT",Elaeocarpus,urophyllus,,2003,"/Elaeocarpaceae/Elaeocarpus merrittii (E urophyllus, HT) A52119.jpg",JPG
A,52113,HT,Elaeocarpaceae,Elaeocarpus,parvilimbus,N,N,"HT, A52113",,,,,,,2003,"/Elaeocarpaceae/Elaeocarpus parvilimbus, HT, A52113.jpg",JPG
A,92024,HT,Euphorbiaceae,Antidesma,edule,N,N,"v. apoense, HT, A92024",,apoense,,,,,2003,"/Euphorbiaceae/Antidesma edule v. apoense, HT, A92024.jpg",JPG
A,26430,HT,Euphorbiaceae,Aporosa,leytensis,N,N,"HT, A26430",,,,,,,2003,"/Euphorbiaceae/Aporosa leytensis, HT, A26430.jpg",JPG
A,47539,HT,Euphorbiaceae,Croton,argyratus,N,N,"(C avellaneus, HT) A47539",,,"C avellaneus, HT",Croton,avellaneus,,2003,"/Euphorbiaceae/Croton argyratus (C avellaneus, HT) A47539.jpg",JPG
